839, 819, 1094.0625
1962, 1102, 1094.52941176471
2838, 858, 1081.38888888889
3573, 716, 1062.15789473684
5020, 1431, 1080.6
6439, 1403, 1095.95238095238
7379, 925, 1088.18181818182
8150, 752, 1073.5652173913
8973, 806, 1062.41666666667
10248, 1261, 1070.36
11782, 1518, 1087.57692307692
12764, 961, 1082.88888888889
15379, 2596, 1136.92857142857
18689, 3291, 1211.20689655172
19970, 1262, 1212.9
20851, 861, 1201.54838709677
23149, 2282, 1235.3125
25955, 2791, 1282.45454545455
27952, 1981, 1303
29699, 1730, 1315.2
31469, 1754, 1327.38888888889
32389, 903, 1315.91891891892
34091, 1682, 1325.55263157895
37630, 3520, 1381.82051282051
38944, 1297, 1379.7
41321, 2360, 1403.60975609756
43528, 2186, 1422.2380952381
45636, 2089, 1437.74418604651
47679, 2024, 1451.06818181818
49544, 1850, 1459.93333333333
51753, 2189, 1475.78260869565
53393, 1625, 1478.95744680851
55273, 1864, 1486.97916666667
57365, 2071, 1498.89795918367
59147, 1768, 1504.28
60939, 1773, 1509.54901960784
61758, 804, 1495.98076923077
63641, 1865, 1502.94339622642
66225, 2569, 1522.68518518519
67298, 1058, 1514.23636363636
69019, 1702, 1517.58928571429
70754, 1718, 1521.10526315789
73996, 3222, 1550.43103448276
77855, 3844, 1589.30508474576
80792, 2916, 1611.41666666667
83182, 2374, 1623.91803278689
85931, 2729, 1641.74193548387
91521, 5570, 1704.09523809524
95603, 4062, 1740.9375
101716, 6095, 1807.92307692308
106324, 4587, 1850.0303030303
118080, 11737, 1997.59701492537
125149, 7052, 2071.92647058824
128338, 3169, 2087.82608695652
133439, 5086, 2130.65714285714
150209, 16751, 2336.57746478873
155026, 4801, 2370.80555555556
